Localidade,CodigoIBGE,I2000,I2010
Brasil,0,0.612,0.727
Rondônia,11,0.537,0.69
Acre,12,0.517,0.663
Amazonas,13,0.515,0.674
Roraima,14,0.598,0.707
Pará,15,0.518,0.646
Amapá,16,0.577,0.708
Tocantins,17,0.525,0.699
Maranhão,21,0.476,0.639
Piauí,22,0.484,0.646
Ceará,23,0.541,0.682
Rio Grande do Norte,24,0.552,0.684
Paraíba,25,0.506,0.658
Pernambuco,26,0.544,0.673
Alagoas,27,0.471,0.631
Sergipe,28,0.518,0.665
Bahia,29,0.512,0.66
Minas Gerais,31,0.624,0.731
Espírito Santo,32,0.64,0.74
Rio de Janeiro,33,0.664,0.761
São Paulo,35,0.702,0.783
Paraná,41,0.65,0.749
Santa Catarina,42,0.674,0.774
Rio Grande do Sul,43,0.664,0.746
Mato Grosso do Sul,50,0.613,0.729
Mato Grosso,51,0.601,0.725
Goiás,52,0.615,0.735
Distrito Federal,53,0.725,0.824
Alta Floresta d'Oeste,1100015,0.483,0.641
Ariquemes,1100023,0.556,0.702
Cabixi,1100031,0.488,0.65
Cacoal,1100049,0.567,0.718
Cerejeiras,1100056,0.542,0.692
Colorado do Oeste,1100064,0.545,0.685
Corumbiara,1100072,0.401,0.613
Costa Marques,1100080,0.486,0.611
Espigão d'Oeste,1100098,0.501,0.672
Guajará-Mirim,1100106,0.573,0.657
Jaru,1100114,0.514,0.689
Ji-Paraná,1100122,0.564,0.714
Machadinho d'Oeste,1100130,0.449,0.596
Nova Brasilândia d'Oeste,1100148,0.459,0.643
Ouro Preto do Oeste,1100155,0.533,0.682
Pimenta Bueno,1100189,0.573,0.71
Porto Velho,1100205,0.613,0.736
Presidente Médici,1100254,0.485,0.664
Rio Crespo,1100262,0.441,0.643
Rolim de Moura,1100288,0.559,0.7
Santa Luzia d'Oeste,1100296,0.482,0.67
Vilhena,1100304,0.62,0.731
São Miguel do Guaporé,1100320,0.409,0.646
Nova Mamoré,1100338,0.446,0.587
Alvorada d'Oeste,1100346,0.469,0.643
Alto Alegre dos Parecis,1100379,0.402,0.592
Alto Paraíso,1100403,0.446,0.625
Buritis,1100452,0.415,0.616
Novo Horizonte do Oeste,1100502,0.442,0.634
Cacaulândia,1100601,0.454,0.646
Campo Novo de Rondônia,1100700,0.432,0.593
Candeias do Jamari,1100809,0.478,0.649
Castanheiras,1100908,0.498,0.658
Chupinguaia,1100924,0.479,0.652
Cujubim,1100940,0.425,0.612
Governador Jorge Teixeira,1101005,0.38,0.596
Itapuã do Oeste,1101104,0.478,0.614
Ministro Andreazza,1101203,0.467,0.638
Mirante da Serra,1101302,0.47,0.643
Monte Negro,1101401,0.435,0.607
Nova União,1101435,0.405,0.587
Parecis,1101450,0.412,0.617
Pimenteiras do Oeste,1101468,0.524,0.665
Primavera de Rondônia,1101476,0.439,0.641
São Felipe d'Oeste,1101484,0.466,0.649
São Francisco do Guaporé,1101492,0.434,0.611
Seringueiras,1101500,0.439,0.598
Teixeirópolis,1101559,0.44,0.643
Theobroma,1101609,0.402,0.589
Urupá,1101708,0.424,0.609
Vale do Anari,1101757,0.409,0.584
Vale do Paraíso,1101807,0.438,0.627
Acrelândia,1200013,0.451,0.604
Assis Brasil,1200054,0.425,0.588
Brasiléia,1200104,0.476,0.614
Bujari,1200138,0.46,0.589
Capixaba,1200179,0.365,0.575
Cruzeiro do Sul,1200203,0.51,0.664
Epitaciolândia,1200252,0.474,0.653
Feijó,1200302,0.323,0.539
Jordão,1200328,0.222,0.469
Mâncio Lima,1200336,0.456,0.625
Manoel Urbano,1200344,0.395,0.551
Marechal Thaumaturgo,1200351,0.301,0.501
Plácido de Castro,1200385,0.464,0.622
Porto Walter,1200393,0.342,0.532
Rio Branco,1200401,0.591,0.727
Rodrigues Alves,1200427,0.399,0.567
Santa Rosa do Purus,1200435,0.277,0.517
Senador Guiomard,1200450,0.488,0.64
Sena Madureira,1200500,0.451,0.603
Tarauacá,1200609,0.386,0.539
Xapuri,1200708,0.445,0.599
Porto Acre,1200807,0.443,0.576
Alvarães,1300029,0.373,0.527
Amaturá,1300060,0.413,0.56
Anamã,1300086,0.408,0.594
Anori,1300102,0.428,0.561
Apuí,1300144,0.437,0.637
Atalaia do Norte,1300201,0.348,0.45
Autazes,1300300,0.42,0.577
Barcelos,1300409,0.384,0.5
Barreirinha,1300508,0.399,0.574
Benjamin Constant,1300607,0.389,0.574
Beruri,1300631,0.34,0.506
Boa Vista do Ramos,1300680,0.372,0.565
Boca do Acre,1300706,0.401,0.588
Borba,1300805,0.389,0.56
Caapiranga,1300839,0.403,0.569
Canutama,1300904,0.38,0.53
Carauari,1301001,0.344,0.549
Careiro,1301100,0.337,0.557
Careiro da Várzea,1301159,0.387,0.568
Coari,1301209,0.389,0.586
Codajás,1301308,0.44,0.563
Eirunepé,1301407,0.409,0.563
Envira,1301506,0.346,0.509
Fonte Boa,1301605,0.32,0.53
Guajará,1301654,0.381,0.532
Humaitá,1301704,0.475,0.605
Ipixuna,1301803,0.318,0.481
Iranduba,1301852,0.437,0.613
Itacoatiara,1301902,0.491,0.644
Itamarati,1301951,0.331,0.477
Itapiranga,1302009,0.478,0.654
Japurá,1302108,0.304,0.522
Juruá,1302207,0.362,0.522
Jutaí,1302306,0.304,0.516
Lábrea,1302405,0.386,0.531
Manacapuru,1302504,0.437,0.614
Manaquiri,1302553,0.429,0.596
Manaus,1302603,0.601,0.737
Manicoré,1302702,0.398,0.582
Maraã,1302801,0.291,0.498
Maués,1302900,0.454,0.588
Nhamundá,1303007,0.441,0.586
Nova Olinda do Norte,1303106,0.373,0.558
Novo Airão,1303205,0.428,0.57
Novo Aripuanã,1303304,0.387,0.554
Parintins,1303403,0.488,0.658
Pauini,1303502,0.287,0.496
Presidente Figueiredo,1303536,0.537,0.647
Rio Preto da Eva,1303569,0.434,0.611
Santa Isabel do Rio Negro,1303601,0.384,0.479
Santo Antônio do Içá,1303700,0.306,0.49
São Gabriel da Cachoeira,1303809,0.478,0.609
São Paulo de Olivença,1303908,0.324,0.521
São Sebastião do Uatumã,1303957,0.428,0.577
Silves,1304005,0.486,0.632
Tabatinga,1304062,0.47,0.616
Tapauá,1304104,0.293,0.502
Tefé,1304203,0.438,0.639
Tonantins,1304237,0.327,0.548
Uarini,1304260,0.358,0.527
Urucará,1304302,0.487,0.62
Urucurituba,1304401,0.427,0.588
Amajari,1400027,0.42,0.484
